lims_backend  | django.urls.exceptions.Resolver404: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLPattern 'api/schema/' [name='schema']>], [<URLPattern 'api/docs/' [name='swagger-ui']>], [<URLPattern 'api/v1/health/' [name='health-check']>], [<URLResolver <module 'apps.accounts.urls' from '/app/apps/accounts/urls.py'> (None:None) 'api/v1/auth/'>], [<URLResolver <module 'apps.patients.urls' from '/app/apps/patients/urls.py'> (None:None) 'api/v1/patients/'>], [<URLResolver <module 'apps.laboratory.urls' from '/app/apps/laboratory/urls.py'> (None:None) 'api/v1/laboratory/'>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/$' [name='order-list']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders\.(?P<format>[a-z0-9]+)/?$' [name='order-list']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/export/$' [name='order-export']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/export\.(?P<format>[a-z0-9]+)/?$' [name='order-export']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)/$' [name='order-detail']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$' [name='order-detail']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)/cancel/$' [name='order-cancel']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)/cancel\.(?P<format>[a-z0-9]+)/?$' [name='order-cancel']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)/receipt.pdf/$' [name='order-receipt-pdf']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)/receipt.pdf\.(?P<format>[a-z0-9]+)/?$' [name='order-receipt-pdf']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)/report.pdf/$' [name='order-report-pdf']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^orders/(?P<pk>[^/.]+)/report.pdf\.(?P<format>[a-z0-9]+)/?$' [name='order-report-pdf']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^order-items/$' [name='orderitem-list']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^order-items\.(?P<format>[a-z0-9]+)/?$' [name='orderitem-list']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^order-items/(?P<pk>[^/.]+)/$' [name='orderitem-detail']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^order-items/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$' [name='orderitem-detail']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^$' [name='api-root']>], [<URLResolver <module 'apps.orders.urls' from '/app/apps/orders/urls.py'> (None:None) 'api/v1/orders/'>, <URLResolver <URLPattern list> (None:None) ''>, <URLPattern '^\.(?P<format>[a-z0-9]+)/?$' [name='api-root']>], [<URLResolver <module 'apps.samples.urls' from '/app/apps/samples/urls.py'> (None:None) 'api/v1/samples/'>], [<URLResolver <module 'apps.results.urls' from '/app/apps/results/urls.py'> (None:None) 'api/v1/results/'>], [<URLResolver <module 'apps.reports.urls' from '/app/apps/reports/urls.py'> (None:None) 'api/v1/reports/'>], [<URLResolver <module 'apps.billing.urls' from '/app/apps/billing/urls.py'> (None:None) 'api/v1/payments/'>], [<URLResolver <module 'apps.audit.urls' from '/app/apps/audit/urls.py'> (None:None) 'api/v1/audit/'>], [<URLResolver <module 'apps.dashboard.urls' from '/app/apps/dashboard/urls.py'> (None:None) 'api/v1/dashboard/'>], [<URLResolver <module 'apps.core.urls' from '/app/apps/core/urls.py'> (None:None) 'api/v1/core/'>], [<URLPattern 'api/v1/worklist/patients/' [name='worklist-patients']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'api/v1/orders/order-items/2'}
lims_backend  | 
lims_backend  | During handling of the above exception, another exception occurred:
lims_backend  | 
lims_backend  | Traceback (most recent call last):
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/template/base.py", line 875, in _resolve_lookup
lims_backend  |     current = current[bit]
lims_backend  |               ~~~~~~~^^^^^
lims_backend  | TypeError: 'URLResolver' object is not subscriptable
lims_backend  | 
