"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","964","PROLACTIN","* Follicular phase: 2.72 - 29.4Preovulatory peak: 6.91 - 27.9Luteal phase: 2.64 - 37.2Postmenopausal: 2.77 - 14.4","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","965","Progesterone Level","Follicular phase: 0.06 - 1.26Luteal Phase: 2.5 - 25.0Ovulation Phase: 0.08 - 1.20Postmenopause: 0.06 - 1.6","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","966","CORTISOL PM","138.0 - 690.0","nmol/l","","Standard","Text","0 - 500","0 - 99999"
"","967","FREE T3","1.50 - 5.00","pmol/l","","Standard","Text","0 - 500","0 - 99999"
"","968","FREE T4","11.50 - 23.00","pmol/l","","Standard","Text","0 - 500","0 - 99999"
"","969","SERUM FERRITIN","Pre-menopausal Female:10 -- 124Menopausal Female:14 - 165Newborn:22 - 220Children 6 Month - 15 Years:7 -- 140","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","970","Cysts of protozoa","-","","Not Seen.","Standard","Text","0 - 250","0 - 99999"
"","971","Vegetative forms","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","972","Remarks","-","","","Standard","Text","0 - 500","0 - 99999"
"","973","STOOL FOR REDUCING SUBSTANCE","-","","","Descriptive","List","0 - 500","0 - 99999"
"","974","Hemoglobin (HB)","M: 13.5-17.5,F: 11.5 - 14.0CH 12.0 - 16.0","g/dl","","Standard","Decimal","0 - 999","11.5 - 17.5"
"","975","Red Blood Cell (RBC)","4.5 - 6.5","*10^12/l","","Standard","Machine","0 - 999999","4.5 - 6.5"
"","976","Platelets Count","150 - 400","*10^9/l","","Standard","Decimal","0 - 99999","150 - 400"
"","977","VITAMIN B12 LEVEL","Newborn: 160 - 1100Adult:Male: 250 - 600Female: 250 - 600Adult > 60y : 110 - 600","pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","978","ESTIMATED GLOMERULAR FILTRATION RATE (EGFR)","90-00 120-00","ml/min","","Standard","Decimal","0 - 500","90 - 120"
"","979","R.A FACTOR","","","","Standard","Text","0 - 500","0 - 9999999"
"","980","STOOL FOR H.PYLORI ANTIGEN","NEGATIVE	< 0.9INTERMEDIATE	0.9 - 1.2POSITIVE	> 1.2","","","Standard","Decimal","0 - 500","0 - 1.2"
"","981","ANA (ANTI NUCLEAR ANTIBODIES)","Positive > 25.0 Negative < 25.0","","","Standard","Text","0 - 500","1 - 99999"
"","982","TPHA (Syphilis)","Non-Reactive: < 15.0Reactive: > 15.0","IU/ml","","Standard","Decimal","0 - 250","0 - 15"
"","983","SPOT URINE PROTEIN","< 12","mg/dl","","Standard","Decimal","0 - 500","0 - 13"
"","984","SPOT URINE CREATININE","30-220","mg/dl","","Standard","Decimal","0 - 500","30 - 220"
"","985","SPOT URINE PROTEIN/CREATININE RATIO","-","","","Standard","Text","0 - 500","0 - 99999"
"","986","Leukocytes","Nil","","","Standard","Text","0 - 500","0 - 99999"
"","987","VITAMIN B12 LEVEL","200 - 1100","pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","988","Differential Leukocyte Count","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","989","Absolute Differential Count","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","990","PH","-","-","","Descriptive","Text","0 - 250","0 - 99999"
"","991","Dengue NS1 Antigen","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","992","Time of collection","","","","Descriptive","Text","0 - 250","0 - 99999"
"","993","Sluggish","","%","","Standard","Text","0 - 500","0 - 99999"
"","994","Immotile","","%","","Standard","Text","0 - 250","0 - 99999"
"","995","Malarial Parasite (MP)","-","-","","Standard","Text","0 - 250","0 - 99999"
"","996","Mean Cell Volume (MCV)","76.0 - 96.0","fl","","Standard","Decimal","0 - 250","70 - 100"
"","997","Direct Bilirubin","0.3-0.8","mg/dl","","Standard","Decimal","0 - 500","0.1 - 0.8"
"","998","Indirect Bilirubin","0.1-0.3","mg/dl","","Standard","Decimal","0 - 500","0 - 0.3"
"","999","Total Bilirubin","0.3-1.1","mg/dl","","Standard","Decimal","0 - 500","0.3 - 1.1"
"","1000","Alkalaine Phosphatase","Adult: 80-306Child (0-10 year) : 80-640","u/l","","Standard","Decimal","0 - 5000","80 - 306"
"","1001","PH","","","","Descriptive","List","0 - 250","0 - 0"
"","1002","Pus Cells","","","NIL","Descriptive","Text","0 - 250","0 - 99999"
"","1003","Red Blood Cells","","","NIL","Descriptive","Text","0 - 500","0 - 99999"
"","1004","Epithelial Cells","","","NIL","Descriptive","Text","0 - 500","0 - 99999"
"","1005","Bacteria","","","NIL","Descriptive","Text","0 - 250","0 - 99999"
"","1006","PROTHROMBIN TIME (PT)","12-16","Sec","","Standard","List","0 - 120","12 - 16"
