"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","1648","TSH","0.30 - 4.50","uIU/ml","","Standard","Text","0 - 500","0.4 - 7"
"","1649","Bilirubin Unconjugated","0.1 - 1.0","mg/dl","","Standard","Formula","0 - 3","0.1 - 1"
"","1650","Uric Acid","Female: 2.5 - 5.5Male: 3.5 - 7.0","mg/dl","","Standard","Decimal","0 - 21.6","2.5 - 15"
"","1651","Patient's Value","Non-Reactive: <0.9Borderline: 0.9-1.0Reactive: >1.0","U/ml","","Standard","Decimal","0 - 60","0 - 20"
"","1652","Pus Cells","1-2","","2-4","Standard","Text","0 - 250","0 - 99999"
"","1653","Volume","1.0-7.0","ml","","Standard","Decimal","0 - 250","1 - 7"
"","1654","Days of Absence","03-30","Days","","Standard","Integer","0 - 250","2 - 30"
"","1655","Total Sperm Count","20-120","Million","","Standard","Text","0 - 500","20 - 120"
"","1656","Indirect Bilirubin","0.1 - 0.75","mg/dl","","Standard","Formula","0 - 999999","0.1 - 0.75"
"","1657","HbA1c","4.2 - 6.4","%","","Standard","Decimal","0 - 100","4.2 - 6.4"
"","1658","Urine for Pregnancy Test","Negative","","","Standard","List","0 - 500","0 - 99999"
"","1659","T3","1.2 - 3.0","nmol/L","","Standard","Decimal","0 - 555555","1.2 - 3"
"","1660","Alpha Feto-Protein","0.5 - 5.5","µIU/ml","","Standard","Decimal","0 - 30","0.5 - 5.5"
"","1661","White Blood Cell (WBC/TLC)","4 - 11","X10^3/uL","","Standard","Decimal","0 - 999","4 - 11"
"","1662","Lumbosacral Spine (AP & Lateral View)","-","","","Standard","Text","0 - 500","0 - 99999"
"","1663","ASO TITER (QUANTITATIVE)","Adults <200Children <150","IU/ml","","Standard","Decimal","0 - 500","0 - 0"
"","1664","Mixed Cells, Absolute","0.14 - 1.80","*10^9/l","","Standard","Decimal","0 - 500","0.14 - 1.8"
"","1665","Color","","","","Standard","Text","0 - 250","0 - 99999"
"","1666","Consistency","","","","Standard","Text","0 - 250","0 - 99999"
"","1667","Odour","Fecal","","","Standard","Text","0 - 500","0 - 99999"
"","1668","Reaction","NIL","","NIL","Standard","Text","0 - 250","0 - 99999"
"","1669","Ova","Not Seen","","Not Seen","Standard","Text","0 - 250","0 - 99999"
"","1670","Cysts of protozoa","Not Seen","","Not Seen","Standard","Text","0 - 250","0 - 99999"
"","1671","Vegetative forms","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1672","Macrophages","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1673","Muscle cells","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1674","Starch","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1675","X-RAY ANKLE AP AND LAT","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1676","HbA1c","4.0 - 6.0 (Non Diabetic)6.1 - 7.0 (Desirable control)7.1 - 8.0 (Sub Optimal)> 8.1     (Very Poor Contorl)","%","","Standard","Decimal","0 - 100","0 - 999990"
"","1677","Anti Helicobacter Pylori Screening","","","","Standard","Text","0 - 500","0 - 99999"
"","1678","LH","* Healthy women:Follicular phase:2.965-11.93Ovulation phase:4.089-26.04Luteal phase:1.317-7.955Postmenopausal phase:27.0 - 129.0","mIU/ml","","Standard","Decimal","0 - 270","0 - 99999999"
"","1679","FSH","* Healthy women:Follicular phase:2.148-13.01Ovulation phase:12.93-92.57Luteal phase:1.084-12.39Postmenopausal phase:13.5 - 96.0","mIU/ml","","Standard","Decimal","0 - 453","0 - 99999"
"","1680","Prolactin","* Follicular phase: 2.72 - 29.4Preovulatorypeak: 6.91 - 27.9Luteal phase: 2.64 - 37.2Postmenopausal: 2.77 - 14.4","ng/ml","","Standard","Decimal","0 - 105","0 - 99999"
"","1681","Helicobacter Pylori Abs IgM","< 0.8 Negative0.8 - 1.2 Borderline> 1.2 Positive","S/CO","","Standard","Text","0 - 500","0 - 1000"
"","1682","Total lipid","250 - 1000","mg/dl","","Standard","Decimal","0 - 1000","250 - 1000"
"","1683","CHOLESTEROL/HDL CHOLESTEROL RATIO","Desirable:3.5 to 5.0                      High:>5.0","mg/dl","","Standard","Decimal","0 - 500","3.5 - 5"
"","1684","APTT","29 - 36","Seconds","","Standard","Text","21 - 500","22 - 500"
"","1685","Coombs Test Indirect","Negative","","","Descriptive","Text","0 - 250","0 - 99999"
"","1686","Coombs Test Direct","Negative","","","Descriptive","Text","0 - 250","0 - 99999"
"","1687","IU/ml","< 15.0  IU/ml","IU/ml","","Standard","Text","0 - 250","0 - 15"
"","1688","Result","","","","Standard","Text","0 - 500","0 - 99999"
"","1689","Indirect Bilirubin.","0.1 - 0.3","mg/dl","","Standard","Formula","0 - 500","0.1 - 0.3"
"","1690","INR.","0.83 - 1.16","","","Standard","Formula","0 - 999999","0.83 - 1.16"
"","1691","Typhoid antigen","> 0.5","mg/ul","","Standard","Text","0 - 500","0 - 999999"
"","1692","Typhoid Antigen.","","","","Descriptive","List","0 - 500","0 - 99999"
"","1693","BETA HCG","Female,non pregnent < 10.00Female,1 - 3 weeks 50 - 1500Female,4 - 5 weeks 2500 - 85000Female,6 - 11 weeks 12 000 - 280 000Female,12- 21 weeks 7000 - 195 000Male < 10.00","mIU/ml","","Standard","Text","0 - 500","0 - 99999"
"","1694","CRP (High Sensitivity)","< 3.0","mg/L","","Standard","Decimal","0 - 50.0","0.01 - 2.99"
"","1695","Results","NON-REACTIVE","","","Descriptive","List","0 - 500","0 - 0"
"","1696","PATIENT VALUE","Non Reactive <0.9Border Line 0.9 - 1.0Reactive >1.0","","","Descriptive","Decimal","0 - 500","0 - 1"
"","1697","Dengue NS1 Antigen","Negative: < 0.9Borderline: 0.9 - 1.1Positive: > 1.1","","","Standard","Decimal","0 - 500","0 - 1.1"
"","1698","Free T4","8.9 - 17.2","pg/mL","","Standard","Decimal","0 - 66","9 - 22"
"","1699","FSH","Male : 1.5 - 11.8Females :Follicualr phase : 3.2 - 15Ovulatory phase : 7.5 - 20Luteal phase : 1.3 - 11Postmenopuase : 36 - 138","mIU/ml","","Standard","Decimal","0 - 453","1.3 - 151"
"","1700","Prolactin","Male : 2.53 - 15.9Female :Normal 13.10 - 23.03Postmenopusal 2.91 - 19.27","ng/ml","","Standard","Decimal","0 - 1000","2.35 - 35"
"","1701","T4","4.58 - 11.88","ug/dL","","Standard","Decimal","0 - 459","4.58 - 11.9"
"","1702","T3","0.69 - 2.15","ng/ml","","Standard","Decimal","0 - 564","0.69 - 2.15"
"","1703","T4","52 - 127","ng/mL","","Standard","Decimal","0 - 180","51 - 127"
"","1704","TSH (Thyroid Stimulating Hormone)","0.30 - 4.50","uIU/mL","","Standard","Decimal","0 - 10","0.3 - 4.5"
"","1705","Anti Mullerian Hormone (AMH)","Female < 10 years < 0.08 - 10.610 - 20 0.62 - 10.921 - 30 < 0.08 - 10.231 - 40 0.15 - 10.641 - 50 < 0.08 - 6.12> 50 < 0.08 - 0.40Male : 1 - 11 39.1 - 33012 - 20 1.15 - 142> 20 0.60 - 18.2","ng/mL","","Standard","Decimal","0 - 1398","0.7 - 466"
"","1706","HAV IgM","Negative: < 0.8Equivocal: 0.8 to 1.2Positive: > 1.2","","","Standard","List","0 - 500","0 - 1.2"
"","1707","Serum Ferritin","Males : 25 - 350Females : 13 - 232","ng/ml","","Standard","Decimal","0 - 900","20 - 300"
"","1708","Creatinine (Spot Urine)","Male : 40 - 278Female : 29 - 226","mg/dl","","Standard","Decimal","0 - 498","40 - 278"
"","1709","Phosphate (Serum)","Adult: 2.5 - 4.5Child: 4.0 - 7.0","mg/dl","","Standard","Decimal","0 - 21","2.5 - 7"
"","1710","Patient's Value","","","","Descriptive","Decimal","0 - 60","0 - 1"
"","1711","Physical Examination","","","","Standard","Text","0 - 250","0 - 99999"
"","1712","V.D.R.L","","","","Standard","List","0 - 500","0 - 0"
"","1713","Direct Bilirubin","Less than 0.5","mg/dl","","Standard","Decimal","0 - 500","0 - 0.5"
"","1714","Indirect Bilirubin","0.1 - 1.0","mg/dl","","Standard","Formula","0 - 999999","0.1 - 1"
"","1715","Alkalaine Phosphatase","Female: 64-306Male: 80-306Upto 15 Years:<64415-17 Years: <483","U/L","","Standard","Decimal","0 - 1500","64 - 400"
"","1716","PCT","0.22 - 0.24","%","","Standard","Decimal","0 - 500","0.22 - 0.24"
"","1717","Bilirubin Total","0.2 - 1.2","mg/dl","","Standard","Decimal","0 - 250","0.2 - 1.2"
"","1718","R.A FACTOR (QUALITATIVE)","Negative","","","Standard","List","0 - 500","0 - 9999"
"","1719","HISTO # :","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1720","MICROSCOPIC APPEARANCES :","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1721","OPINION :","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1722","Urea (Serum)","10 - 50","mg/dl","","Standard","Text","0 - 250","10 - 50"
"","1723","BUN (Blood Urea Nitrogen)","Adults <65Y 7 - 23.3 mg/dlAdults >65Y <33 mg/dl","mg/dl","","Standard","Formula","0 - 999999","7 - 23.3"
"","1724","Creatinine (Serum)","Male: 0.7 - 1.2Female: 0.6 - 1.1","mg/dl","","Standard","Text","0 - 40","0.3 - 1.2"
"","1725","Hemoglobin (HB)","11.5 - 16.0","g/dl","","Standard","Machine","0 - 999999","11.5 - 16"
"","1726","HCT (PCV)","36 - 46","%","","Standard","Machine","0 - 999999","36 - 46"
"","1727","Mean Cell Volume (MCV)","75 - 95","fl","","Standard","Machine","0 - 999999","75 - 95"
"","1728","Mean Cell Hemoglobin (MCH)","26 - 32","pg","","Standard","Machine","0 - 999999","26 - 32"
"","1729","Mean Cell Hb Conc (MCHC)","30 - 35","%","","Standard","Machine","0 - 999999","30 - 35"
"","1730","ESR","Less than 20","mm/1st hr","","Standard","Decimal","0 - 999","0 - 20"
"","1731","Eosinophils","1 - 6","%","","Standard","Decimal","0 - 100","1 - 6"
"","1732","Hemoglobin (HB)","15 - 24","g/dl","","Standard","Decimal","0 - 500","15 - 24"
"","1733","Red Blood Cell (RBC)","4.1 - 6.7","*10^12/l","","Standard","Decimal","0 - 500","4.1 - 6.7"
"","1734","Hematocrit (HCT)","44 - 65","%","","Standard","Decimal","0 - 100","44 - 65"
"","1735","Mean Cell Volume (MCV)","102 - 115","fl","","Standard","Decimal","0 - 250","102 - 115"
"","1736","Mean Cell Hemoglobin (MCH)","33 - 39","pg","","Standard","Decimal","0 - 250","33 - 39"
"","1737","White Blood Cell (WBC/TLC)","10 - 25","*10^9/l","","Standard","Decimal","0 - 999","10 - 25"
"","1738","Neutrophils","32 - 60","%","","Standard","Decimal","0 - 100","32 - 60"
"","1739","Lymphocytes","26 - 40","%","","Standard","Decimal","0 - 100","26 - 40"
"","1740","Monocytes","Less than 9","%","","Standard","Decimal","0 - 100","0 - 9"
"","1741","Eosinophil","Less than 4","%","","Standard","Decimal","0 - 100","0 - 4"
"","1742","ESR","Less than 10","mm/1st hr","","Standard","Decimal","0 - 200","0 - 10"
"","1743","Hemoglobin (HB)","13 - 18","g/dl","","Standard","Decimal","0 - 500","13 - 18"
"","1744","Hematocrit (HCT)","38 - 52","%","","Standard","Decimal","0 - 100","38 - 52"
"","1745","Urea","10 - 50","mg/dl","","Standard","Decimal","0 - 400","10 - 50"
"","1746","Blood Urea Nitrogen (BUN)","8 - 22","mg/dl","","Standard","Formula","0 - 999999","8 - 22"
"","1747","Creatinine","0.55 - 1.3","mg/dl","","Standard","Decimal","0 - 40","0.55 - 1.3"
"","1748","Glomerular Filteration Rate (GFR)","15 - 60","mL/Min/1.73m^2","","Standard","Decimal","0 - 500","15 - 60"
"","1749","Globulin","1.8 - 3.5","g/dl","","Standard","Formula","0 - 999999","1.8 - 3.5"
"","1750","alkaline phosthate","85-306","u/l","","Standard","Text","0 - 500","85 - 306"
"","1751","Creatinine","0.6 - 1.3","mg/dl","","Standard","Decimal","0 - 99","0.6 - 1.3"
"","1752","Triglycerides","Male: 40 - 160Female: 35 - 135","mg/dl","","Standard","Machine","0 - 999999","0 - 160"
"","1753","V.L.D.L","Normal: < 32Borderline High: 32 to 42High: 42 to 102Very High: > 102","mg/dl","","Standard","Decimal","0 - 99999","0 - 102"
"","1754","Serum Cholesterol","Normal: < 200Boderline High: 200 - 220Very High: > 220","mg/dl","","Standard","Machine","0 - 999999","0 - 220"
"","1755","HDL Cholesterol.","Male: 41 - 66Female: 48 - 73","mg/dl","","Standard","Machine","0 - 999999","41 - 73"
"","1756","LDL Cholesterol","Normal: < 119Borderline High: 119-138Very High: >145","mg/dl","","Standard","Decimal","0 - 999","0 - 145"
"","1757","Cholesterol / HDL Cholesterol Ratio","Desirable: 3.5 to 5.0High: > 5.0","mg/dl","","Standard","Formula","0 - 500","0 - 5"
"","1758","Bilirubin Total","Adults: 0.1-1.1Newborn: <10","mg/dl","","Standard","Decimal","0 - 250","0.2 - 1.1"
"","1759","SGPT (ALT)","5-40","U/L","","Standard","Decimal","0 - 99999","4 - 40"
"","1760","SGOT (AST)","9-35","U/L","","Standard","Decimal","0 - 99999","8 - 35"
"","1761","Gamma GT","10-45","IU/L","","Standard","Decimal","0 - 150","10 - 45"
"","1762","Total Protein","5.0 - 7.5","g/dL","","Standard","Decimal","0 - 25.5","5 - 7.5"
"","1763","Albumin","2.5 - 4.0","g/dl","","Standard","Decimal","0 - 500","2.5 - 4"
"","1764","Globulins","2.5 - 4.0","g/dl","","Standard","Formula","0 - 999999","2.5 - 4"
"","1765","Blood Urea Nitrogen (BUN)","8 - 22","mg/dl","","Standard","Formula","0 - 999999","8 - 22"
"","1766","HDL Cholesterol","Low : < 39Normal : > 40","mg/dl","","Standard","Decimal","0 - 400","39 - 60"
"","1767","V.L.D.L","Less than 30 mg/dL Normal30 to 40 mg/dL Borderline High40 to 100 mg/dL HighMore than 100 mg/dL Very High","mg/dl","","Standard","Decimal","0 - 120","0 - 40"
"","1768","NON-HDL CHOLESTEROL","Desirable :     < 130Above Desirable:  130 – 159Broderline High:  160 – 189High:             190 – 219Very High: > or = 220","","","Standard","Formula","0 - 999999","0 - 190"
"","1769","Cholesterol / HDL Cholesterol Ratio","Desirable: 3.5 to 5.0High: > 5.0","mg/dl","","Standard","Formula","0 - 500","0 - 5"
"","1770","LDL CHOLESTEROL/HDL CHOLESTEROL RATIO","Risk                                              MenVery low (1/2 average)                    1Average risk                                   3.6Moderate risk (2x average)             6.3","","","Standard","Formula","0 - 999999","0 - 6.3"
"","1771","Globulins","1.8 - 3.5","g/dl","","Standard","Formula","0 - 999999","1.8 - 3.5"
"","1772","A/G Ratio","1.1 - 2.4",".","","Standard","Formula","0 - 999","1.1 - 2.4"
"","1773","Indirect Bilirubin.","0.1 - 0.75","mg/dl","","Standard","Formula","0 - 999999","0.1 - 0.75"
"","1774","T-Spot TB Test(T-Cell Count)","Interpretation:Negative <5Borderline 5-7Positive > 7","","","Standard","Text","0 - 500","0 - 999999999"
"","1775","Hepatitis B Surface Antigen","","","","Standard","List","0 - 500","0 - 999"
"","1776","HBsAg Patient's index value","Negative <0.9Border Line 0.9 - 1.0Positive >1.0","","","Standard","Text","0 - 500","0 - 99999"
"","1777","Anti HCV Elisa Result","","","","Standard","List","0 - 500","0 - 500"
"","1778","Anti HCV Patient's index value","Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2","S/CO","","Standard","Decimal","0 - 999","0 - 500"
"","1779","Hyaline Cast","Nil","","Nil","Standard","Text","0 - 500","0 - 99999"
"","1780","ESR","Female: Less than 30Male: Less than 20","mm/1st hr","","Standard","Decimal","0 - 1000","10 - 30"
"","1781","INR","0.83 - 1.16","","","Standard","Formula","0 - 999999","0.83 - 1.16"
"","1782","LDL CHOLESTEROL","Desirable: < 99Above Desirable: 100-129Borderline: 130 - 159High: 160 - 189Very High: > 190","mg/dl","","Standard","Formula","0 - 999999","0 - 160"
"","1783","CHOLESTEROL / HDL CHOLESTEROL RATIO","Desirable: 3.5 to 5.0High: > 5.0","mg/dl","","Standard","Formula","0 - 999999","0 - 5"
"","1784","T3","0.5 - 5.0","ng/mL","","Standard","Decimal","0 - 5.64","0.5 - 5"
"","1785","T4","60.0- 120.0","nmol/L","","Standard","Decimal","0 - 459","60 - 120"
"","1786","TSH","Adult: 0.34 - 5.60Child: 0.40 - 7.00","µIU/mL","","Standard","Decimal","0 - 21","0.4 - 7"
"","1787","Hemoglobin (HB)","Female: 13-16Male: 10- 25","g/dl","","Standard","Integer","0 - 100","13 - 25"
"","1788","Urea","10- 50","mg/dl","","Standard","Decimal","0 - 400","8 - 50"
"","1789","Creatinine","0.4-1.3","mg/dl","","Standard","Decimal","0 - 40","0.4 - 1.3"
"","1790","Serum Cholesterol","140-200","mg/dl","","Standard","Decimal","0 - 1000","140 - 200"
"","1791","Triglycerides","50-150","mg/dl","","Standard","Decimal","0 - 1200","50 - 150"
"","1792","Eosinophil, Absolute","02 - 05","*10^9/l","","Standard","Decimal","0 - 100","2 - 5"
"","1793","Intact Parathyroid Hormone (IPTH)","10 - 65","pg/mL","","Standard","Decimal","0 - 9999","0 - 65"
"","1794","Dengue Virus (IgG)","Negative: < 9.0Borderline: 9.0 to 1.1Positive: > 1.1","","","Standard","Decimal","0 - 33","0 - 11"
"","1795","Beta HCG Level","0-5 for non pregnantGestational AgeUpto 4 wks:5-1005 wks: 200-30006 wks: 10,000-80,0007-14 wks: 90,000-500,00015-26 wks: 5000-80,00026-40 wks: 3000-15,000","mIU/mL","","Standard","Decimal","0 - 1000000","0 - 10000000"
"","1796",".","","","","Standard","Text","0 - 2000","0 - 99999"
"","1797","Physical Examination","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1798","Microscopic Examination","","","","Standard","Text","0 - 250","0 - 99999"
"","1799","Rubella IgM","Positive: > 1.0","IU/ml","","Standard","Decimal","0 - 3","0 - 1"
"","1800","Rubella IgG","Less Than 10","IU/mL","","Standard","Text","0 - 500","0 - 10"
"","1801","T.I.B.C.","250.00 400.00","µg/dl","","Standard","Text","0 - 500","0 - 99999999"
"","1802","HB-A2","2.0 - 3.2","%","","Standard","Decimal","0 - 100","0 - 99"
"","1803","BETA-HCG","< 10.00 for non pregnantGestational AgeUpto 4 wks:5-1005 wks: 200-30006 wks: 10,000-80,0007-14 wks: 90,000-500,00015-26 wks: 5000-80,00026-40 wks: 3000-15,000","mIU/mL","","Standard","Decimal","0 - 1000000","0 - 10000000"
"","1804","Free T4","8.9 - 17.2","ng/dl","","Standard","Decimal","0 - 66","0 - 500"
"","1805","Intact Parathyroid Hormone (IPTH) (Fasting)","10 - 65","pg/mL","","Standard","Decimal","0 - 1000","0 - 1000"
"","1806","TSH","Adult: 0.30 - 4.50Child: 0.40 - 7.00","µIU/mL","","Standard","Text","0 - 110","0.3 - 4.5"
"","1807","Adrenocorticotropic Hormone (ACTH)-AM","6.0 - 48.0","pg/ml","","Standard","Decimal","0 - 173.4","0 - 500"
"","1808","Anti Mullerian Hormone (AMH)","Female:< 10 years 0.08 - 10.610 - 20 -  0.62 - 10.921 - 30 -  0.08 - 10.231 - 40 -  0.15 - 10.641 - 50 -  0.08 - 6.12> 50    -  0.08 - 0.40Male:1 - 11  -  39.1 - 33012 - 20 -  1.15 - 142> 20    -  0.60 - 18.20","ng/mL","","Standard","Text","0 - 500","0 - 500"
"","1809","PSA (Prostate Specific Antigen) Total","Male: < 4.0Female: < 5.0","ng/ml","","Standard","Decimal","0 - 500","0 - 500"
"","1810","Serum Ferritin","Men : 25 - 350Women : 13 - 232Newborn: 22 - 220Children (6 months - 15 years): 7 - 140","ng/ml","","Standard","Decimal","0 - 900","0 - 1000"
"","1811","Serum Globulin","1.8 - 3.4","mg/dl","","Standard","Formula","0 - 10.2","0 - 100"
"","1812","Urine Protein","<80<300 (pregnancy)","mg/24 Hours","","Standard","Decimal","0 - 5000","0 - 5000"
"","1813","Alkalaine Phosphatase","Male:      80 - 306Female:    64 - 3060-15 year: up to - 6440-17 years:up to - 483","U/L","","Standard","Text","0 - 500","0 - 5000"
"","1814","L.D.H.","140 to 280","U/L","","Standard","Decimal","0 - 99999","0 - 5000"
"","1815","Albumin (Spot Urine)","< 35","mg/dl","","Standard","Decimal","0 - 500","0 - 500"
"","1816","Creatinine (Spot Urine)","40 - 278 - Male 29 - 226 - Female","mg/dl","","Standard","Decimal","0 - 500","0 - 5000"
"","1817","Albumin / Creatinine Ratio (Spot Urine)","0.2","","","Standard","Decimal","0 - 50","0 - 500"
"","1818","Direct Bilirubin","0.3 - 0.7","mg/dl","","Standard","Decimal","0 - 999","0.3 - 0.8"
"","1819","Indirect Bilirubin","0.1 - 0.4","mg/dl","","Standard","Formula","0 - 999999","0.1 - 0.4"
"","1820","Alkalaine Phosphatase","Male:      80 - 306Female:    64 - 3060-15 year:  up to- 6440-17 years  up to-483","U/L","","Standard","Decimal","0 - 9999","80 - 650"
"","1821","Rheumatoid Factor (Rh)","<20","iu/ml","","Standard","Decimal","0 - 5000","0 - 20"
"","1822","Indirect Bilirubin","0.1 - 0.3","mg/dl","","Standard","Formula","0 - 999999","0 - 50"
"","1823","Eosinophils","1 - 5","%","","Standard","Formula","0 - 100","0 - 111"
"","1824","Blood Urea Nitrogen (BUN)","4-23","mg/dl","","Standard","Formula","0 - 66","4 - 500"
"","1825","SGPT (ALT)","5 - 42","U/L","","Standard","Text","0 - 500","0 - 10000"
"","1826","Cholesterol / HDL Cholesterol Ratio","Normal: 3.5 to 5.0High: > 5.0","mg/dl","","Standard","Text","0 - 500","0 - 500"
"","1827","V.L.D.L","Normal: < 30Borderline High: 30 to 40","mg/dl","","Standard","Text","0 - 500","0 - 500"
"","1828","PT","14","Seconds","","Standard","Text","0 - 121","0 - 1000"
"","1829","Serum Ferritin","Males : 25 - 350Females : 13 - 232","ng/ml","","Standard","Text","0 - 500","0 - 9999"
"","1830","FREE T4","0.89-1.72","ng/dl","","Standard","Decimal","0 - 99","0 - 45"
"","1831","After 75 Grams Glucose ( 1/2 hour )","80-160","mg/dl","","Standard","Decimal","0 - 999","80 - 160"
"","1832","Anti CCP Antibody","< 17 Negative> 17 Positive","U/mL","","Standard","Text","0 - 500","0 - 999"
"","1833","TROPONIN-T (QUALITATIVE)","NEGATIVE","","","Standard","List","0 - 500","0 - 999998"
"","1834","HbA1c","5.0 - 6.4","%","","Standard","Decimal","0 - 100","5 - 6.4"
"","1835","After 75 Grams Glucose ( 2 hour )","80-160","mg/dl","","Standard","Decimal","0 - 999","80 - 160"
"","1836","Helicobacter Pylori Abs (IgG)","Negative: < 0.9Borderline: 1.0 - 1.1Positive: > 1.2","U/ml","","Standard","Text","0 - 100","0 - 1000"
"","1837","QuantiFeron-TB Gold Test","(See below)","IU/ml","","Descriptive","Text","0 - 500","0 - 100"
"","1838","CMV IgG","Negative: < 0.9Grayzone: 0.90 to 1.1Positive: > 1.1","IU/ml","","Standard","Text","0 - 500","0 - 100"
"","1839","CMV IgM","Negative: < 0.9Grayzone: 0.90 to 1.1Positive: > 1.1","IU/ml","","Standard","Text","0 - 500","0 - 100"
"","1840","HSV-1 IgG","Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1","IU/ml","","Standard","Text","0 - 500","0 - 0"
"","1841","HSV-1 IgM","Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1","IU/ml","","Standard","Text","0 - 500","0 - 500"
"","1842","Toxoplasma IgG","Negative","","","Standard","List","0 - 500","0 - 0"
"","1843","Toxoplasma IgM","Negative","","","Standard","List","0 - 500","0 - 0"
"","1844","Blood Urea Nitrogen (BUN)","4-23","mg/dl","","Standard","Formula","0 - 66","4 - 500"
"","1845","Indirect Bilirubin","0.1 - 0.3","mg/dl","","Standard","Formula","0 - 999999","0 - 50"
"","1846","INR","0.9 - 1.1","","","Standard","Formula","0 - 999999","0.9 - 1.1"
"","1847","Rapid Progressive","> 20 %","%","%","Standard","Text","0 - 100","0 - 100"
"","1848","Progressive (PR)","> 20 %","%","%","Standard","Text","0 - 500","0 - 100"
"","1849","Cholesterol / HDL Cholesterol Ratio","Normal: 3.5 to 5.0High: > 5.0","mg/dl","","Standard","Formula","0 - 500","0 - 500"
"","1850","V.L.D.L","Normal: < 30Borderline High: 30 to 40","mg/dl","","Standard","Formula","0 - 120","0 - 500"
"","1851","FREE T4","0.6 - 1.12","ng/dl","","Standard","Text","0 - 500","0 - 100"
"","1852","INR","0.9 - 1.1","","","Standard","Formula","0 - 999999","0.9 - 1.1"
"","1853","Insulin (Fasting)","Child upto 12 years: < 10Adult (Normal): 0.7 - 9.0Diabetic (Type 2): 0.7 - 25","uIU/ml","","Standard","Decimal","0 - 27","0 - 9"
"","1854","TSH receptor antibodies (TRAB)","Normal <1.75High   =1.75","IU/L","","Standard","Text","0 - 500","0 - 1.74"
"","1855","BETA HCG","Female;Non Pregnant < 10.00Pregnant Female3-7   Days     5     - 501-2   Weeks    10    - 4722-3   Weeks    90    - 4,5903-4   Weeks    462   - 10,9404-5   Weeks    1,065 - 68,2485-6   Weeks    7,458 - 118,5156-7   Weeks    14,423- 175,6387-8   Weeks    31,510- 184,6288-12  Weeks    28,639- 224,91912-16 Weeks    9,870 - 106,91716-18 Weeks    7,924 - 56,552Male < 10.00","mIU/ml","","Standard","Text","0 - 500","0 - 999999"
"","1856","Blood Urea Nitrogen (BUN)","7.0 - 22.0","mg/dl","","Standard","Machine","0 - 999999","7 - 22"
"","1857","Creatinine","Male   "" 0.6 - 1.1 ""Female "" 0.5 - 0.9 ""","mg/dl","","Standard","Machine","0 - 999999","0.5 - 1.2"
"","1858","Osmolality (Urine)","50.0  -  1200.0","mOsmol/kg","","Standard","Decimal","0 - 4500","50 - 1200"
"","1859","Stool for Clostridium-Difficile Toxin","SEE BELOW","-","","Standard","Decimal","0 - 3.3","0 - 1.1"
"","1860","Platelets Count","150000 - 450000","/cu mm","","Standard","Decimal","0 - 999999","150000 - 450000"
"","1861","Gamma GT","Male: < 50 , Female: < 30","U/L","","Standard","Machine","0 - 999999","0 - 50"
"","1862","Albumin","3.7 - 5.3","g/dL","","Standard","Machine","0 - 999999","3.7 - 5.3"
"","1863","S.G.O.T (A.S.T)","Male:< 40 Female: < 35","U/L","","Standard","Decimal","0 - 99999","0 - 40"
"","1864","Gamma GT","Male:< 50, Female:< 30","U/L","","Standard","Machine","0 - 999999","0 - 50"
"","1865","C.P.K","Male: 38 - 174Female: 26 - 140","U/L","","Standard","Decimal","0 - 9999","26 - 174"
"","1866","SGOT (AST)","Adult: < 40","U/l","","Standard","Machine","0 - 999999","0 - 40"
"","1867","Micro Albumin","Less Than 25","mg/24 Hours","","Descriptive","Machine","0 - 999999","0 - 25"
"","1868","Uric Acid","Female: 2.5 - 6.0Male: 3.5 - 7.2Child <12 year: 2.0 - 5.5","mg/dl","","Standard","Machine","0 - 999999","2 - 7.2"
"","1869","Serum Cholesterol","Desirable: < 200Borderline High: 200 - 220High: > 220","mg/dl","","Standard","Decimal","0 - 720","0 - 220"
"","1870","Triglycerides","Male: 40 - 160Female: 35 - 135","mg/dl","","Standard","Decimal","0 - 2500","0 - 160"
"","1871","HDL Cholesterol","Male: 41 - 66Female: 48 - 73","mg/dl","","Standard","Decimal","0 - 400","41 - 73"
"","1872","Glomerular Filteration Rate (GFR)","Stage 1   GFR equal to or more than 90    may be slight renal damage with normal or increased GFR  Stage 2   GFR 60-89 mild decrease in renal function  Stage 3   GFR 30-59  moderate decrease in renal function  Stage 4   GFR 15-29 severe decrease in renal function  Stage 5   GFR less than 15, consider dialysis or renal transplant","mL/Min/1.73m^2","","Standard","Decimal","0 - 500","0 - 99999"
"","1873","ProBNP (N-t) II","Less Than 300","pg/ml","","Standard","Decimal","0 - 900","0 - 300"
